"timestamp","gt_power_mw","gt_heat_rate_btu_kwh","gt_exhaust_temp_c","gt_setpoint_mw","gt_mode","solar_output_mw","solar_irradiance_fraction","solar_cell_temp_c","bess_soc_pct","bess_power_mw","bess_terminal_voltage_v","bess_setpoint_mw","compute_cpu_load_pct","compute_mem_util_pct","compute_inlet_temp_c","compute_load_mw","cooling_chws_temp_c","cooling_pump_flow_ls","cooling_cop","site_total_load_mw","it_load_mw","mechanical_load_mw","grid_import_mw","grid_import_metered_mw","islanded","balance_residual_mw","binding_constraint","forecast_mw","step_event","scenario_id","rng_seed","source"
"1.2",134.82,11393.2,540.11,85.2424,"ramping",120.4117,0.6,42.9,72.0059,-45.513,1478.7,-55.3833,65.059,55.1,25.85,195.177,8.025,3944.1,4.12,199.8484,195.177,4.6714,-8.8711,-3.4031,0,0.0,"ramp_limit",208.277,0,"demo_v2",605338760,"synthetic_generator"
"1.3",134.84,11399.3,539.96,157.8845,"ramping",119.3451,0.6,42.9,72.0063,-27.115,1480.1,19.3912,89.371,55.1,25.85,268.113,8.029,4689.0,4.25,273.5763,268.113,5.4633,47.8741,-1.0189,0,-0.0,"ramp_limit",191.114,1,"demo_v2",605338760,"synthetic_generator"
"1.4",134.86,11406.8,540.06,170.0738,"ramping",120.3923,0.6,43.3,72.0064,-10.254,1479.1,32.3634,93.98,55.1,25.83,281.94,8.033,4814.4,4.18,287.6157,281.94,5.6757,44.0555,1.3371,0,0.0,"ramp_limit",205.391,0,"demo_v2",605338760,"synthetic_generator"
"1.5",134.84,11426.1,540.01,89.1595,"ramping",119.577,0.6,43.0,72.0067,-18.094,1478.0,-37.9085,70.494,54.8,25.83,211.482,8.035,4110.0,4.18,216.5085,211.482,5.0265,-18.7319,0.3372,0,-0.0,"ramp_limit",189.762,0,"demo_v2",605338760,"synthetic_generator"
"1.6",134.82,11358.3,540.06,92.8952,"ramping",120.7346,0.6,43.0,72.0071,-27.844,1479.3,-52.4894,66.041,55.1,25.83,198.123,8.036,3974.1,4.18,203.0652,198.123,4.9422,-23.63,-0.7478,0,-0.0,"ramp_limit",189.566,0,"demo_v2",605338760,"synthetic_generator"
"1.7",134.8,11330.2,540.07,84.6993,"ramping",119.5243,0.6,43.0,72.0075,-35.193,1480.6,-53.7705,65.201,55.3,25.84,195.603,8.037,3950.9,4.26,200.5538,195.603,4.9508,-17.5747,-1.5387,0,-0.0,"ramp_limit",197.924,0,"demo_v2",605338760,"synthetic_generator"
"1.8",134.78,11409.6,540.06,80.0,"ramping",119.448,0.6,43.6,72.0081,-40.536,1479.3,-54.04,65.058,55.2,25.86,195.174,8.039,3954.4,4.22,200.188,195.174,5.014,-12.5031,-2.1971,0,0.0,"ramp_limit",206.465,0,"demo_v2",605338760,"synthetic_generator"
"1.9",134.76,11392.9,540.09,80.0,"ramping",121.2968,0.6,43.3,72.0087,-44.881,1479.8,-55.8647,65.041,54.8,25.86,195.123,8.04,3951.4,4.19,200.1921,195.123,5.0691,-9.9827,-2.6888,0,0.0,"ramp_limit",205.534,0,"demo_v2",605338760,"synthetic_generator"
"2.0",134.78,11379.6,540.02,157.6888,"ramping",119.9527,0.6,42.3,72.0091,-26.705,1479.0,19.2377,89.364,55.2,25.84,268.092,8.044,4690.9,4.19,273.9704,268.092,5.8784,47.3126,-0.1945,0,0.0,"ramp_limit",197.711,1,"demo_v2",605338760,"synthetic_generator"
"2.1",134.8,11422.8,540.01,169.2625,"ramping",119.907,0.6,42.4,72.0092,-9.704,1479.9,33.2718,93.968,54.9,25.88,281.904,8.048,4807.8,4.17,287.9788,281.904,6.0748,44.4157,2.1137,0,-0.0,"ramp_limit",204.548,0,"demo_v2",605338760,"synthetic_generator"
"2.2",134.78,11393.7,540.02,101.0996,"ramping",119.6702,0.6,42.8,72.0095,-17.575,1478.8,-37.4704,70.515,54.7,25.86,211.545,8.05,4122.3,4.2,216.9798,211.545,5.4348,-18.8105,1.1063,0,-0.0,"ramp_limit",206.651,0,"demo_v2",605338760,"synthetic_generator"
"2.3",134.76,11371.4,540.13,80.0,"ramping",119.9792,0.6,42.9,72.0099,-27.106,1479.6,-51.1985,66.067,54.9,25.86,198.201,8.051,3989.1,4.24,203.5407,198.201,5.3397,-23.0748,0.0753,0,-0.0,"ramp_limit",193.574,0,"demo_v2",605338760,"synthetic_generator"
"2.4",134.74,11328.6,540.05,85.8019,"ramping",119.8876,0.6,42.9,72.0103,-34.611,1480.3,-53.5825,65.229,55.0,25.89,195.687,8.052,3944.5,4.2,201.0451,195.687,5.3581,-17.9662,-1.1811,0,-0.0,"ramp_limit",200.642,0,"demo_v2",605338760,"synthetic_generator"
"2.5",134.72,11365.8,540.15,83.0716,"ramping",120.2956,0.6,43.0,72.0109,-40.208,1479.5,-54.3536,65.09,55.0,25.85,195.27,8.054,3955.7,4.28,200.662,195.27,5.392,-13.1422,-1.579,0,0.0,"ramp_limit",209.82,0,"demo_v2",605338760,"synthetic_generator"
"2.6",134.7,11333.1,540.07,81.2117,"ramping",119.8505,0.6,43.0,72.0115,-44.099,1479.3,-53.9365,65.049,55.5,25.88,195.147,8.055,3946.1,4.18,200.614,195.147,5.467,-8.8344,-1.8518,0,-0.0,"ramp_limit",196.272,0,"demo_v2",605338760,"synthetic_generator"
"2.7",134.68,11349.0,540.1,80.0,"ramping",120.2403,0.6,42.9,72.0122,-46.977,1481.2,-54.2501,65.048,55.3,25.86,195.144,8.056,3955.1,4.18,200.6702,195.144,5.5262,-6.2698,-2.0088,0,0.0,"ramp_limit",204.152,0,"demo_v2",605338760,"synthetic_generator"
"2.8",134.7,11372.6,540.17,156.5363,"ramping",120.1395,0.6,43.3,72.0125,-28.098,1480.7,19.6231,89.37,55.4,25.9,268.11,8.06,4692.2,4.13,274.4626,268.11,6.3526,49.0934,0.4217,0,-0.0,"ramp_limit",197.14,1,"demo_v2",605338760,"synthetic_generator"
"2.9",134.72,11380.7,540.19,176.0069,"ramping",119.7878,0.6,43.7,72.0127,-10.508,1479.7,33.9535,93.973,55.2,25.91,281.919,8.064,4820.4,4.16,288.4613,281.919,6.5423,45.9038,2.6369,0,-0.0,"ramp_limit",205.273,0,"demo_v2",605338760,"synthetic_generator"
"3.0",134.7,11390.1,540.17,93.4155,"ramping",120.417,0.6,42.9,72.0129,-18.216,1479.3,-37.6977,70.51,54.9,25.87,211.53,8.066,4121.4,4.18,217.4193,211.53,5.8893,-18.3946,1.6881,0,0.0,"ramp_limit",203.675,0,"demo_v2",605338760,"synthetic_generator"
"3.1",134.68,11406.1,540.1,91.3846,"ramping",119.5065,0.6,43.0,72.0133,-27.257,1479.8,-50.1107,66.081,55.0,25.92,198.243,8.067,3992.2,4.13,204.0758,198.243,5.8328,-21.8333,0.3581,0,-0.0,"ramp_limit",204.227,0,"demo_v2",605338760,"synthetic_generator"
"3.2",134.66,11391.1,540.23,85.1557,"ramping",120.8178,0.6,42.6,72.0138,-34.813,1478.9,-53.9142,65.254,55.2,25.88,195.762,8.068,3950.7,4.22,201.5636,195.762,5.8016,-18.0934,-0.4079,0,-0.0,"ramp_limit",207.283,0,"demo_v2",605338760,"synthetic_generator"
"3.3",134.64,11377.0,540.12,80.0,"ramping",120.2635,0.6,42.9,72.0144,-40.169,1479.6,-53.705,65.112,55.0,25.87,195.336,8.069,3966.7,4.23,201.1985,195.336,5.8625,-12.5301,-1.0857,0,-0.0,"ramp_limit",210.666,0,"demo_v2",605338760,"synthetic_generator"
"3.4",134.62,11364.3,540.16,80.3597,"ramping",120.8463,0.6,43.0,72.015,-44.183,1479.0,-54.3291,65.064,55.0,25.89,195.192,8.07,3977.0,4.18,201.1372,195.192,5.9452,-9.1405,-1.3482,0,-0.0,"ramp_limit",195.499,0,"demo_v2",605338760,"synthetic_generator"
"3.5",134.6,11422.7,540.1,81.1323,"ramping",119.9861,0.6,43.1,72.0156,-46.776,1477.8,-53.3329,65.069,54.8,25.86,195.207,8.071,3958.4,4.04,201.2532,195.207,6.0462,-5.5507,-1.788,0,0.0,"ramp_limit",208.441,0,"demo_v2",605338760,"synthetic_generator"
"3.6",134.62,11399.3,540.22,153.2368,"ramping",118.9467,0.6,43.2,72.016,-27.445,1477.6,21.4194,89.4,54.9,25.89,268.2,8.075,4704.2,4.19,274.9861,268.2,6.7861,50.2393,0.743,0,0.0,"ramp_limit",202.974,1,"demo_v2",605338760,"synthetic_generator"
"3.7",134.64,11370.5,540.09,168.3564,"ramping",120.1102,0.6,43.3,72.0162,-9.952,1480.2,34.2641,94.008,55.3,25.94,282.024,8.079,4825.7,4.17,289.0143,282.024,6.9903,45.6612,2.929,0,0.0,"ramp_limit",209.709,0,"demo_v2",605338760,"synthetic_generator"
"3.8",134.62,11413.4,540.06,101.2857,"ramping",119.7373,0.6,43.1,72.0164,-17.454,1480.1,-36.4163,70.554,55.2,25.92,211.662,8.081,4102.2,4.25,217.941,211.662,6.279,-17.8726,2.0149,0,0.0,"ramp_limit",209.617,0,"demo_v2",605338760,"synthetic_generator"
"3.9",134.6,11440.3,540.11,88.6761,"ramping",120.5674,0.6,42.6,72.0168,-26.825,1479.1,-50.5114,66.147,55.2,25.89,198.441,8.082,3978.2,4.23,204.656,198.441,6.215,-22.6631,0.8658,0,-0.0,"ramp_limit",216.021,0,"demo_v2",605338760,"synthetic_generator"
"4.0",134.58,11403.0,540.2,80.0,"ramping",120.8541,0.6,43.0,72.0172,-34.318,1480.2,-53.2581,65.302,55.0,25.92,195.906,8.083,3962.4,4.19,202.176,195.906,6.27,-17.9293,-0.0103,0,-0.0,"ramp_limit",201.721,0,"demo_v2",605338760,"synthetic_generator"
"4.1",134.56,11381.8,540.18,85.6082,"ramping",119.9464,0.6,43.7,72.0178,-39.558,1478.6,-52.8042,65.137,54.9,25.91,195.411,8.084,3934.4,4.19,201.7022,195.411,6.2912,-12.2377,-0.6266,0,-0.0,"ramp_limit",202.03,0,"demo_v2",605338760,"synthetic_generator"
"4.2",134.54,11384.8,540.18,80.474,"ramping",119.4439,0.6,42.8,72.0184,-43.178,1480.0,-52.3293,65.111,55.2,25.93,195.333,8.085,3949.6,4.25,201.6546,195.333,6.3216,-8.1431,-1.0012,0,0.0,"ramp_limit",207.176,0,"demo_v2",605338760,"synthetic_generator"
"4.3",134.56,11364.6,540.13,155.2292,"ramping",119.8339,0.6,42.7,72.0187,-24.953,1480.0,21.1158,89.455,55.2,25.94,268.365,8.089,4699.5,4.24,275.5097,268.365,7.1447,47.4464,1.4151,0,-0.0,"ramp_limit",212.687,1,"demo_v2",605338760,"synthetic_generator"
"4.4",134.58,11321.6,540.14,165.3433,"ramping",119.6784,0.6,42.8,72.0188,-7.886,1478.4,35.2543,94.045,55.2,25.95,282.135,8.093,4825.2,4.18,289.5127,282.135,7.3777,44.5879,3.2767,0,0.0,"ramp_limit",203.959,0,"demo_v2",605338760,"synthetic_generator"
"4.5",134.56,11349.7,540.14,92.4716,"ramping",119.2818,0.599,43.1,72.0191,-15.699,1479.0,-35.448,70.571,54.8,25.94,211.713,8.094,4111.8,4.24,218.3938,211.713,6.6808,-18.657,2.3981,0,0.0,"ramp_limit",202.671,0,"demo_v2",605338760,"synthetic_generator"
"4.6",134.54,11407.8,540.17,94.8704,"ramping",119.7639,0.599,43.4,72.0194,-25.212,1476.3,-49.2582,66.133,55.1,25.95,198.399,8.095,3984.6,4.17,205.0457,198.399,6.6467,-23.021,1.134,0,-0.0,"ramp_limit",203.611,0,"demo_v2",605338760,"synthetic_generator"
"4.7",134.52,11358.6,540.2,85.828,"ramping",119.7322,0.599,43.1,72.0199,-32.697,1480.8,-51.6177,65.307,55.4,25.95,195.921,8.096,3955.9,4.1,202.6345,195.921,6.7135,-17.9075,0.1419,0,-0.0,"ramp_limit",211.556,0,"demo_v2",605338760,"synthetic_generator"
"4.8",134.5,11387.0,540.17,80.0,"ramping",120.9474,0.6,42.9,72.0204,-38.535,1481.3,-53.2915,65.146,54.9,25.91,195.438,8.098,3950.9,4.16,202.1559,195.438,6.7179,-13.7457,-0.5058,0,0.0,"ramp_limit",205.32,0,"demo_v2",605338760,"synthetic_generator"
"4.9",134.48,11385.0,540.14,86.2562,"ramping",119.2191,0.6,42.7,72.021,-42.252,1478.4,-51.6488,65.097,55.5,25.92,195.291,8.099,3943.2,4.16,202.0503,195.291,6.7593,-8.3866,-0.788,0,0.0,"ramp_limit",198.674,0,"demo_v2",605338760,"synthetic_generator"
"5.0",134.5,11361.6,540.28,159.2983,"ramping",121.0049,0.6,43.1,72.0213,-24.518,1477.9,20.3102,89.406,55.1,25.95,268.218,8.102,4663.2,4.09,275.8151,268.218,7.5971,46.2073,1.4627,0,0.0,"ramp_limit",198.846,1,"demo_v2",605338760,"synthetic_generator"
"5.1",134.52,11364.8,540.21,168.0378,"ramping",120.2132,0.6,42.8,72.0214,-7.632,1480.6,35.0511,94.002,55.1,25.97,282.006,8.106,4807.4,4.14,289.7843,282.006,7.7783,44.132,3.5384,0,0.0,"ramp_limit",207.786,0,"demo_v2",605338760,"synthetic_generator"
"5.2",134.5,11381.2,540.17,98.5052,"ramping",120.3602,0.6,43.7,72.0217,-15.697,1479.4,-36.0829,70.557,54.9,25.96,211.671,8.107,4110.9,4.18,218.7773,211.671,7.1063,-19.292,2.2662,0,-0.0,"ramp_limit",217.22,0,"demo_v2",605338760,"synthetic_generator"
"5.3",134.48,11390.8,540.14,85.931,"ramping",119.6883,0.6,42.7,72.022,-25.095,1480.2,-48.8494,66.114,55.2,25.94,198.342,8.108,3996.3,4.27,205.3189,198.342,6.9769,-22.7278,1.1006,0,-0.0,"ramp_limit",203.188,0,"demo_v2",605338760,"synthetic_generator"
"5.4",134.46,11357.0,540.21,83.52,"ramping",119.9263,0.6,42.7,72.0225,-32.602,1480.0,-51.5786,65.264,55.1,25.97,195.792,8.109,3958.8,4.23,202.8077,195.792,7.0157,-17.9626,0.2683,0,0.0,"ramp_limit",201.979,0,"demo_v2",605338760,"synthetic_generator"
"5.5",134.44,11399.2,540.19,80.0,"ramping",119.7433,0.599,42.7,72.023,-38.018,1479.0,-51.7092,65.132,55.3,25.97,195.396,8.11,3958.6,4.21,202.4741,195.396,7.0781,-12.6788,-0.268,0,0.0,"ramp_limit",220.197,0,"demo_v2",605338760,"synthetic_generator"
"5.6",134.42,11367.6,540.18,90.7683,"ramping",119.6968,0.599,43.0,72.0236,-41.87,1479.5,-51.6077,65.109,55.5,25.98,195.327,8.111,3953.2,4.13,202.5091,195.327,7.1821,-8.7251,-0.8343,0,0.0,"ramp_limit",211.614,0,"demo_v2",605338760,"synthetic_generator"
"5.7",134.4,11382.1,540.23,80.0,"ramping",119.9548,0.599,43.1,72.0242,-44.701,1480.5,-51.8545,65.105,55.1,25.97,195.315,8.112,3954.4,4.19,202.5003,195.315,7.1853,-6.141,-1.1072,0,-0.0,"ramp_limit",210.01,0,"demo_v2",605338760,"synthetic_generator"
"5.8",134.42,11388.0,540.2,159.6007,"ramping",121.1736,0.599,43.1,72.0246,-26.112,1481.2,20.8751,89.463,55.2,25.98,268.389,8.116,4700.6,4.09,276.4687,268.389,8.0797,48.3695,1.371,0,0.0,"ramp_limit",220.364,1,"demo_v2",605338760,"synthetic_generator"
"5.9",134.44,11330.0,540.24,173.9207,"ramping",119.01,0.599,42.7,72.0247,-8.248,1480.9,36.9075,94.061,55.4,26.02,282.183,8.119,4820.9,4.21,290.3575,282.183,8.1745,46.6073,3.537,0,0.0,"ramp_limit",210.527,0,"demo_v2",605338760,"synthetic_generator"
"6.0",134.42,11341.6,540.18,97.0574,"ramping",119.3568,0.599,42.5,72.0249,-15.656,1479.5,-34.3815,70.603,55.3,26.01,211.809,8.121,4131.3,4.15,219.3953,211.809,7.5863,-17.6286,2.4463,0,-0.0,"ramp_limit",213.391,0,"demo_v2",605338760,"synthetic_generator"
"6.1",134.4,11416.6,540.2,87.4101,"ramping",119.5569,0.599,43.1,72.0252,-24.81,1479.7,-47.9484,66.179,54.9,26.01,198.537,8.122,3975.7,4.16,206.0085,198.537,7.4715,-22.1083,1.1189,0,0.0,"ramp_limit",213.345,0,"demo_v2",605338760,"synthetic_generator"
"6.2",134.38,11407.9,540.31,89.0523,"ramping",119.4806,0.599,42.8,72.0257,-32.022,1480.6,-50.2519,65.341,55.0,26.0,196.023,8.123,3963.0,4.07,203.6087,196.023,7.5857,-17.2119,0.2609,0,-0.0,"ramp_limit",209.902,0,"demo_v2",605338760,"synthetic_generator"
"6.3",134.36,11426.4,540.26,80.9628,"ramping",119.6705,0.599,43.1,72.0262,-37.355,1479.7,-50.8357,65.191,55.1,25.95,195.573,8.124,3967.8,4.09,203.1948,195.573,7.6218,-12.4647,-0.3146,0,-0.0,"ramp_limit",213.93,0,"demo_v2",605338760,"synthetic_generator"
"6.4",134.34,11389.1,540.2,80.0,"ramping",119.4957,0.599,42.9,72.0268,-41.162,1479.1,-50.7856,65.155,55.0,25.95,195.465,8.125,3961.8,4.18,203.0501,195.465,7.5851,-8.6083,-0.7345,0,-0.0,"ramp_limit",207.667,0,"demo_v2",605338760,"synthetic_generator"
"6.5",134.36,11410.8,540.25,151.7939,"ramping",119.9944,0.599,43.3,72.0271,-23.097,1480.2,22.5676,89.499,55.3,25.99,268.497,8.128,4698.7,4.14,276.922,268.497,8.425,47.0492,1.7499,0,0.0,"ramp_limit",218.192,1,"demo_v2",605338760,"synthetic_generator"
"6.6",134.38,11394.3,540.26,163.5596,"ramping",119.7384,0.599,42.6,72.0272,-6.122,1478.8,36.7861,94.11,55.1,26.04,282.33,8.132,4803.9,4.17,290.9045,282.33,8.5745,44.3626,3.866,0,-0.0,"ramp_limit",218.509,0,"demo_v2",605338760,"synthetic_generator"
"6.7",134.36,11416.5,540.18,97.7433,"ramping",119.7522,0.599,43.3,72.0274,-14.101,1480.0,-34.2706,70.638,55.2,26.0,211.914,8.133,4113.9,4.18,219.8416,211.914,7.9276,-19.0704,2.647,0,-0.0,"ramp_limit",208.82,0,"demo_v2",605338760,"synthetic_generator"
"6.8",134.34,11376.1,540.27,89.6076,"ramping",119.1412,0.599,42.9,72.0277,-23.45,1478.6,-47.0799,66.213,55.1,25.97,198.639,8.134,3981.5,4.27,206.4013,198.639,7.7623,-22.5979,1.3365,0,-0.0,"ramp_limit",214.922,0,"demo_v2",605338760,"synthetic_generator"
"6.9",134.32,11392.0,540.28,90.4555,"ramping",119.4699,0.599,43.3,72.0281,-30.903,1480.5,-49.7437,65.383,55.1,25.97,196.149,8.135,3958.9,4.15,204.0462,196.149,7.8972,-17.8205,0.5259,0,-0.0,"ramp_limit",215.09,0,"demo_v2",605338760,"synthetic_generator"
"7.0",134.3,11422.0,540.28,81.5086,"ramping",119.6857,0.599,43.0,72.0286,-36.399,1478.8,-50.2919,65.248,55.4,25.99,195.744,8.136,3963.5,4.15,203.6938,195.744,7.9498,-12.8744,-0.0605,0,-0.0,"ramp_limit",222.128,0,"demo_v2",605338760,"synthetic_generator"
"7.1",134.28,11423.6,540.3,87.8456,"ramping",120.4322,0.6,43.0,72.0292,-40.558,1478.5,-51.07,65.219,55.2,26.0,195.657,8.137,3970.3,4.17,203.6422,195.657,7.9852,-9.4938,-0.6805,0,0.0,"ramp_limit",213.147,0,"demo_v2",605338760,"synthetic_generator"
"7.2",134.3,11394.1,540.3,162.1204,"ramping",120.8814,0.6,43.3,72.0295,-22.723,1478.6,22.3593,89.566,54.9,25.97,268.698,8.14,4680.9,4.09,277.5407,268.698,8.8427,46.47,1.6335,0,-0.0,"ramp_limit",221.037,1,"demo_v2",605338760,"synthetic_generator"
"7.3",134.32,11358.5,540.29,172.959,"ramping",119.9649,0.6,43.5,72.0296,-5.735,1479.1,37.2044,94.161,55.1,26.02,282.483,8.144,4813.4,4.13,291.4893,282.483,9.0063,44.3968,3.7731,0,0.0,"ramp_limit",213.3,0,"demo_v2",605338760,"synthetic_generator"
"7.4",134.3,11387.9,540.24,101.8777,"ramping",119.571,0.599,43.4,72.0298,-13.588,1481.1,-33.4372,70.698,54.9,26.01,212.094,8.145,4125.2,4.16,220.4338,212.094,8.3398,-18.747,2.5649,0,0.0,"ramp_limit",214.409,0,"demo_v2",605338760,"synthetic_generator"
"7.5",134.28,11400.5,540.24,95.2335,"ramping",119.1478,0.599,42.9,72.0301,-22.894,1478.8,-46.4175,66.274,55.2,26.0,198.822,8.146,3985.9,4.22,207.0103,198.822,8.1883,-22.4884,1.4027,0,0.0,"ramp_limit",217.202,0,"demo_v2",605338760,"synthetic_generator"
"7.6",134.26,11340.5,540.34,80.0,"ramping",119.3895,0.599,42.8,72.0305,-30.303,1479.7,-49.0311,65.454,55.2,26.01,196.362,8.147,3956.0,4.17,204.6184,196.362,8.2564,-17.705,0.4929,0,-0.0,"ramp_limit",220.954,0,"demo_v2",605338760,"synthetic_generator"
"7.7",134.24,11392.1,540.18,80.0,"ramping",119.5503,0.599,42.9,72.031,-35.755,1480.1,-49.5341,65.31,54.7,26.03,195.93,8.148,3957.5,4.15,204.2562,195.93,8.3262,-12.7578,-0.2612,0,-0.0,"ramp_limit",220.525,0,"demo_v2",605338760,"synthetic_generator"
"7.8",134.22,11363.7,540.38,81.0121,"ramping",119.4003,0.599,43.5,72.0316,-39.657,1480.6,-49.5221,65.252,55.3,26.03,195.756,8.148,3957.6,4.18,204.0982,195.756,8.3422,-8.8446,-0.5362,0,-0.0,"ramp_limit",201.542,0,"demo_v2",605338760,"synthetic_generator"
"7.9",134.2,11437.6,540.29,80.0,"ramping",120.2972,0.599,42.8,72.0322,-42.679,1479.8,-50.3159,65.265,55.2,26.04,195.795,8.149,3965.2,4.19,204.1813,195.795,8.3863,-6.616,-0.828,0,0.0,"ramp_limit",222.526,0,"demo_v2",605338760,"synthetic_generator"
"8.0",134.22,11388.0,540.35,161.6604,"ramping",119.5808,0.599,43.0,72.0325,-23.74,1481.1,24.132,89.585,54.8,25.99,268.755,8.152,4679.6,4.18,277.9328,268.755,9.1778,49.2617,1.5745,0,0.0,"ramp_limit",209.041,1,"demo_v2",605338760,"synthetic_generator"
"8.1",134.24,11338.1,540.25,172.5725,"ramping",120.2026,0.599,42.8,72.0326,-6.383,1478.2,37.4918,94.168,55.1,26.05,282.504,8.156,4840.2,4.16,291.9344,282.504,9.4304,45.3345,3.7789,0,-0.0,"ramp_limit",208.745,0,"demo_v2",605338760,"synthetic_generator"
"8.2",134.22,11359.9,540.36,100.3199,"ramping",119.9362,0.599,43.5,72.0328,-13.966,1478.8,-33.135,70.722,55.2,26.03,212.166,8.157,4122.4,4.08,221.0212,212.166,8.8552,-18.0639,2.7564,0,0.0,"ramp_limit",224.052,0,"demo_v2",605338760,"synthetic_generator"
"8.3",134.2,11410.8,540.32,87.2413,"ramping",120.7598,0.599,42.8,72.0331,-23.422,1479.3,-47.3249,66.296,55.4,26.04,198.888,8.158,3976.9,4.09,207.6349,198.888,8.7469,-22.8648,1.3968,0,-0.0,"ramp_limit",218.024,0,"demo_v2",605338760,"synthetic_generator"
"8.4",134.18,11396.9,540.33,86.1077,"ramping",119.8781,0.599,42.7,72.0335,-30.691,1478.7,-49.0626,65.465,54.7,26.05,196.395,8.159,3942.0,4.23,204.9955,196.395,8.6005,-17.3466,0.5459,0,-0.0,"ramp_limit",218.403,0,"demo_v2",605338760,"synthetic_generator"
